position,wanted_3p499mhz_vpp,vfo_12p5mhz_vpp,if_9p001mhz_vpp,sum_21p501mhz_vpp
0.0,7.41054476243063e-05,0.0320671500266911,9.872482266569411e-05,6.979666173264494e-05
0.1,0.002923736669843782,0.027286695282141688,0.004723261366932236,0.0028690221259424155
0.2,0.004374589733875205,0.022755753873805996,0.007018857894067987,0.004307412405799798
0.30000000000000004,0.004994718379620609,0.01843043646378028,0.007949671025711471,0.004919343384242511
0.4,0.005280209806810039,0.014283558140275862,0.008354477240036151,0.005205463803760944
0.5,0.005434856760912266,0.010301438370216744,0.008551047862820666,0.005356321327170594
0.6000000000000001,0.005522493216343943,0.006452641770297394,0.008661795759684725,0.005444826906152237
0.7000000000000001,0.005582833563233092,0.00271970628188116,0.0087371658342554,0.005501387292912198
0.7100000000000001,0.005587530793080779,0.0023520472650703523,0.008743882328438566,0.005506125267868031
0.7200000000000001,0.005592113538606605,0.001985223921429122,0.008750268084082018,0.005510746920351823
0.7300000000000001,0.005596611042709012,0.0016196467490383862,0.008756669142737036,0.005515218798055197
0.7400000000000001,0.0056009984788316525,0.001254773213073412,0.008763008433560562,0.005519506495399168
0.75,0.005605123762920394,0.0008911081668869163,0.008769307565437066,0.005523747090210334
0.76,0.005609373688515444,0.0005283370477398631,0.008775394020704732,0.005527787946271209
0.77,0.005613481515817916,0.0001665213767197601,0.008781547844142543,0.005531811225469864
0.78,0.005617500311566944,0.0001944256883689566,0.00878776614948189,0.005535891877624473
0.79,0.005621261107305724,0.0005546023058490764,0.00879419808266512,0.00553961781109845
0.8,0.005624923569712087,0.0009138932144037684,0.008800504944783367,0.005543443307634256
0.81,0.0056285066939716225,0.0012727292671807205,0.008806680385891894,0.0055470418581067965
0.8200000000000001,0.005632216149616936,0.0016305025249200827,0.008813150828861733,0.005550596150740673
0.8300000000000001,0.005635887273515053,0.0019875961231745247,0.008819353612690973,0.005554132079556484
0.8400000000000001,0.005639522446681389,0.002343746001277541,0.008825646904557284,0.005557503732021089
0.8500000000000001,0.005643165695511587,0.0026990790840519478,0.008832054837956863,0.005560914580580603
0.8600000000000001,0.005646459412238823,0.003053809860128849,0.008838445756033196,0.005564212856417707
0.8700000000000001,0.005649630066542453,0.0034083798380142596,0.00884490881793748,0.005567640116933325
0.88,0.00565275804686983,0.0037619111498790893,0.008851504998095486,0.005570785343639664
0.89,0.005654982710343492,0.004113598681976946,0.008858008698426298,0.00557372876485203
0.9,0.0056591112576359634,0.0044659049706078395,0.008864468445706486,0.005577370596767844
1.0,0.005671372107134487,0.007943800143114153,0.008934802807841235,0.005592042821062223
